game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,home_score,away_score,total_runs,game_state,game_status_detail
20260901_NYM@TB,2026-09-01,2026-09-01 18:40:00-04:00,TB,NYM,82-54,61-76,0.5573,0.4427,0.0,0.0,Freddy Peralta,Sean Manaea,5.010309,8.976804,5.2990656,9.504673,Tropicana Field,TB,,0,0,,pre,Scheduled
20260901_SD@CIN,2026-09-01,2026-09-01 18:40:00-04:00,CIN,SD,65-72,72-65,0.4764,0.5236000000000001,0.0,0.0,Nick Lodolo,Randy Vásquez,4.5409093,7.240909,4.9,6.4,Great American Ball Park,SD,,0,0,,pre,Scheduled
20260901_SF@PIT,2026-09-01,2026-09-01 18:40:00-04:00,PIT,SF,67-71,56-81,0.5726,0.4274,0.0,0.0,Paul Skenes,Logan Webb,3.857143,11.371922,3.8955224,7.3880596,PNC Park,PIT,,0,0,,pre,Scheduled
20260901_TOR@CLE,2026-09-01,2026-09-01 18:40:00-04:00,CLE,TOR,69-68,68-70,0.6052,0.39480000000000004,0.0,0.0,Gavin Williams,Spencer Arrighetti,3.4955356,12.113839,4.2687745,9.284585,Progressive Field,CLE,,0,0,,pre,Scheduled
20260901_ATL@WSH,2026-09-01,2026-09-01 18:45:00-04:00,WSH,ATL,65-74,82-55,0.4233,0.5767,0.0,0.0,Jake Irvin,AJ Smith-Shawver,5.7115383,9.346154,2.25,9.0,Nationals Park,ATL,,0,0,,pre,Scheduled
20260901_SEA@BOS,2026-09-01,2026-09-01 18:45:00-04:00,BOS,SEA,74-63,64-73,0.5935,0.4065,0.0,0.0,TBD,Bryan Woo,,,4.203166,9.403694,Fenway Park,BOS,,0,0,,pre,Scheduled
20260901_DET@MIN,2026-09-01,2026-09-01 19:40:00-04:00,MIN,DET,65-72,63-73,0.5219,0.47809999999999997,0.0,0.0,Andrew Morris,Troy Melton,2.8723404,8.617022,1.6396761,7.9797573,Target Field,MIN,,0,0,,pre,Scheduled
20260901_MIA@KC,2026-09-01,2026-09-01 19:40:00-04:00,KC,MIA,62-76,69-68,0.562,0.43799999999999994,0.0,0.0,Randy Dobnak,Tyler Phillips,1.9756098,6.365854,4.3875,7.0875,Kauffman Stadium,KC,,0,0,,pre,Scheduled
20260901_MIL@CHC,2026-09-01,2026-09-01 19:40:00-04:00,CHC,MIL,77-60,85-52,0.5036,0.49639999999999995,0.0,0.0,Matthew Boyd,Robert Gasser,4.4103584,7.63745,4.6836734,8.403061,Wrigley Field,CHC,,0,0,,pre,Scheduled
20260901_ATH@TEX,2026-09-01,2026-09-01 20:05:00-04:00,TEX,ATH,67-70,53-84,0.601,0.399,0.0,0.0,MacKenzie Gore,Brady Basso,3.911215,10.156542,3.2727273,7.7727275,Globe Life Field,TEX,,0,0,,pre,Scheduled
20260901_CHW@HOU,2026-09-01,2026-09-01 20:10:00-04:00,HOU,CWS,69-68,72-64,0.5825,0.4175,0.0,0.0,TBD,Sean Burke,,,3.2045455,10.363636,Daikin Park,HOU,,0,0,,pre,Scheduled
20260901_BAL@COL,2026-09-01,2026-09-01 20:40:00-04:00,COL,BAL,52-85,68-69,0.3657,0.6343,0.0,0.0,Gabriel Hughes,Kyle Bradish,6.4180326,7.7459016,4.248731,8.840101,Coors Field,BAL,,0,0,,pre,Scheduled
20260901_NYY@LAA,2026-09-01,2026-09-01 21:38:00-04:00,LAA,NYY,52-85,78-59,0.3361,0.6638999999999999,0.0,0.0,Grayson Rodriguez,Gerrit Cole,6.2427745,8.583815,3.107143,9.857142,Angel Stadium,NYY,,0,0,,pre,Scheduled
20260901_PHI@ARI,2026-09-01,2026-09-01 21:40:00-04:00,AZ,PHI,73-65,77-60,0.4097,0.5903,0.0,0.0,Eduardo Rodriguez,Jesús Luzardo,2.706444,6.508353,3.3521445,11.823928,Chase Field,PHI,,0,0,,pre,Scheduled
20260901_STL@LAD,2026-09-01,2026-09-01 22:10:00-04:00,LAD,STL,82-55,68-70,0.6141,0.3859,0.0,0.0,Eric Lauer,Michael McGreevy,4.821429,6.075,2.9454546,6.3818183,Dodger Stadium,LAD,,0,0,,pre,Scheduled
