feature,shap_value,signed_effect,perspective_team
away_team_id,0.148585,positive,LAD
run_margin_diff,0.080451,positive,LAD
bullpen_whip_3g_home,-0.033026,negative,LAD
sp_era_5g_diff,0.016952,positive,LAD
sp_k9_away,0.014922,positive,LAD
sp_era_home,0.011834,positive,LAD
sp_era_diff,0.011511,positive,LAD
bullpen_meltdown_risk,0.009429,positive,LAD
sp_fbvelo_diff,0.008915,positive,LAD
home_team_id,0.00537,positive,LAD
lineup_depth_multiplier,0.004874,positive,LAD
bullpen_whip_diff,0.004461,positive,LAD
bullpen_whip_10g_home,-0.00358,negative,LAD
air_density_velocity_boost,-0.003505,negative,LAD
away_win_pct,0.003451,positive,LAD
sp_xwoba_diff,0.003434,positive,LAD
team_exitvelo_15g_away,-0.003228,negative,LAD
team_exitvelo_diff,0.002944,positive,LAD
sp_whiff_diff,-0.002934,negative,LAD
team_exitvelo_15g_home,0.002464,positive,LAD
lineup_woba_mean_away,-0.002354,negative,LAD
sp_k9_home,0.002329,positive,LAD
wind_advantage_flyball_factor,0.001984,positive,LAD
team_hardhit_diff,-0.001959,negative,LAD
away_elo,0.001933,positive,LAD
lineup_woba_top3_diff,0.001878,positive,LAD
lineup_woba_mean_diff,-0.001876,negative,LAD
lineup_woba_mean_home,-0.001832,negative,LAD
elo_diff,0.001655,positive,LAD
woba_30g_diff,-0.001534,negative,LAD
win_pct_diff,0.001462,positive,LAD
bullpen_whip_3g_diff,-0.001438,negative,LAD
sp_xwoba_home,0.001364,positive,LAD
bullpen_whip_10g_away,0.001342,positive,LAD
park_factor_slug_diff,0.001253,positive,LAD
team_barrel_15g_home,0.001234,positive,LAD
lineup_handedness_matchup_advantage,0.001192,positive,LAD
sp_era_away,0.000999,positive,LAD
team_barrel_15g_away,-0.000941,negative,LAD
woba_30g_away,0.00092,positive,LAD
sp_fbpct_diff,0.000919,positive,LAD
lineup_woba_top3_away,-0.00089,negative,LAD
bullpen_pitches_diff,0.000851,positive,LAD
pitcher_regression_indicator,0.000815,positive,LAD
woba_30g_home,-0.000715,negative,LAD
sp_xwoba_vs_l_diff,-0.000666,negative,LAD
lineup_woba_std_diff,-0.000612,negative,LAD
lineup_woba_top3_home,0.000533,positive,LAD
sp_k9_5g_diff,0.000483,positive,LAD
sp_xwoba_away,-0.000483,negative,LAD
team_barrel_diff,0.000442,positive,LAD
sp_k9_diff,0.000397,positive,LAD
bullpen_whip_3g_away,0.000351,positive,LAD
ace_efficiency_factor,0.000331,positive,LAD
home_elo,0.000291,positive,LAD
dome_is_neutral,0.000186,positive,LAD
home_win_pct,-0.000135,negative,LAD
travel_fatigue_diff,7.1e-05,positive,LAD
closer_availability_diff,-1.7e-05,negative,LAD
rest_days_diff,1.2e-05,positive,LAD
is_home,-0.0,negative,LAD
