feature,shap_value,signed_effect,perspective_team
home_team_id,0.144695,positive,PHI
away_team_id,-0.039257,negative,PHI
sp_era_5g_diff,-0.016444,negative,PHI
lineup_woba_top3_diff,0.016273,positive,PHI
bullpen_meltdown_risk,0.014624,positive,PHI
home_elo,0.011867,positive,PHI
team_hardhit_diff,-0.010508,negative,PHI
sp_k9_away,0.010204,positive,PHI
sp_xwoba_vs_l_diff,-0.010015,negative,PHI
lineup_handedness_matchup_advantage,-0.009719,negative,PHI
lineup_woba_mean_away,-0.008524,negative,PHI
away_win_pct,-0.007767,negative,PHI
bullpen_whip_10g_home,0.007748,positive,PHI
sp_fbvelo_diff,0.007358,positive,PHI
away_elo,0.006062,positive,PHI
sp_era_home,-0.005864,negative,PHI
pitcher_regression_indicator,0.005669,positive,PHI
sp_fbpct_diff,-0.004931,negative,PHI
air_density_velocity_boost,0.004638,positive,PHI
run_margin_diff,0.004402,positive,PHI
sp_k9_diff,0.004307,positive,PHI
bullpen_pitches_diff,-0.003558,negative,PHI
lineup_woba_mean_home,0.003544,positive,PHI
bullpen_whip_3g_home,0.003396,positive,PHI
team_barrel_15g_home,0.003296,positive,PHI
sp_k9_home,-0.002981,negative,PHI
team_barrel_diff,0.002851,positive,PHI
sp_era_diff,-0.002732,negative,PHI
lineup_woba_std_diff,0.002463,positive,PHI
lineup_woba_mean_diff,-0.002415,negative,PHI
elo_diff,0.002131,positive,PHI
team_exitvelo_15g_away,0.002123,positive,PHI
sp_xwoba_away,-0.001943,negative,PHI
team_exitvelo_diff,-0.001824,negative,PHI
woba_30g_away,-0.001818,negative,PHI
sp_whiff_diff,0.001792,positive,PHI
park_factor_slug_diff,-0.001767,negative,PHI
lineup_woba_top3_away,0.001678,positive,PHI
bullpen_whip_3g_diff,0.001578,positive,PHI
sp_era_away,-0.001517,negative,PHI
woba_30g_diff,0.001493,positive,PHI
team_exitvelo_15g_home,-0.001421,negative,PHI
sp_xwoba_diff,-0.00113,negative,PHI
sp_k9_5g_diff,0.001069,positive,PHI
sp_xwoba_home,0.000977,positive,PHI
home_win_pct,0.000834,positive,PHI
team_barrel_15g_away,0.00075,positive,PHI
wind_advantage_flyball_factor,0.00073,positive,PHI
lineup_depth_multiplier,0.000682,positive,PHI
win_pct_diff,-0.000664,negative,PHI
bullpen_whip_10g_away,0.000374,positive,PHI
bullpen_whip_diff,-0.000288,negative,PHI
woba_30g_home,0.000245,positive,PHI
ace_efficiency_factor,0.000232,positive,PHI
travel_fatigue_diff,-0.000133,negative,PHI
dome_is_neutral,-5.1e-05,negative,PHI
lineup_woba_top3_home,2.2e-05,positive,PHI
bullpen_whip_3g_away,-2.2e-05,negative,PHI
rest_days_diff,-1e-06,negative,PHI
is_home,0.0,negative,PHI
closer_availability_diff,-0.0,negative,PHI
