feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.09021,positive,BOS
sp_era_5g_diff,0.055452,positive,BOS
away_team_id,0.026582,positive,BOS
lineup_woba_mean_home,-0.021863,negative,BOS
home_team_id,-0.018433,negative,BOS
bullpen_meltdown_risk,-0.015111,negative,BOS
bullpen_whip_10g_home,-0.012554,negative,BOS
elo_diff,0.009597,positive,BOS
sp_era_diff,0.008971,positive,BOS
lineup_depth_multiplier,-0.008828,negative,BOS
sp_fbvelo_diff,0.00758,positive,BOS
sp_era_home,0.007419,positive,BOS
home_elo,0.006262,positive,BOS
sp_k9_away,0.006217,positive,BOS
win_pct_diff,0.006055,positive,BOS
sp_xwoba_home,0.005939,positive,BOS
away_win_pct,-0.005892,negative,BOS
bullpen_whip_3g_home,0.005302,positive,BOS
pitcher_regression_indicator,0.004904,positive,BOS
team_exitvelo_15g_away,0.004882,positive,BOS
team_exitvelo_diff,-0.004803,negative,BOS
lineup_woba_mean_away,0.004522,positive,BOS
exp2_centered_k_diff,0.003152,positive,BOS
exp2_cat_k_breaking_diff,-0.002987,negative,BOS
air_density_velocity_boost,0.002864,positive,BOS
team_exitvelo_15g_home,-0.002756,negative,BOS
bullpen_pitches_diff,-0.002706,negative,BOS
lineup_woba_std_diff,0.002477,positive,BOS
bullpen_whip_diff,0.002473,positive,BOS
lineup_woba_top3_away,-0.002448,negative,BOS
away_elo,-0.002403,negative,BOS
team_barrel_diff,0.002301,positive,BOS
bullpen_whip_3g_away,0.001975,positive,BOS
ace_efficiency_factor,0.001932,positive,BOS
bullpen_whip_3g_diff,0.001877,positive,BOS
home_win_pct,0.001777,positive,BOS
lineup_woba_top3_diff,-0.001512,negative,BOS
wind_advantage_flyball_factor,0.001358,positive,BOS
exp2_cat_xwoba_breaking_diff,0.001346,positive,BOS
sp_k9_home,-0.001289,negative,BOS
lineup_woba_top3_home,0.001167,positive,BOS
exp2_cat_k_offspeed_diff,-0.001105,negative,BOS
exp2_cat_xwoba_offspeed_diff,-0.001088,negative,BOS
exp2_cat_k_fastball_diff,-0.00107,negative,BOS
park_factor_slug_diff,-0.001029,negative,BOS
team_barrel_15g_home,-0.000969,negative,BOS
exp2_cat_xwoba_fastball_diff,-0.000961,negative,BOS
woba_30g_diff,0.00096,positive,BOS
woba_30g_home,0.00085,positive,BOS
team_barrel_15g_away,0.000811,positive,BOS
team_hardhit_diff,-0.000791,negative,BOS
lineup_woba_mean_diff,0.000678,positive,BOS
bullpen_whip_10g_away,0.000585,positive,BOS
woba_30g_away,0.000494,positive,BOS
exp2_cat_platoon_k_fastball_diff,0.000375,positive,BOS
sp_era_away,0.000276,positive,BOS
lineup_handedness_matchup_advantage,-0.000189,negative,BOS
sp_xwoba_away,-8.5e-05,negative,BOS
dome_is_neutral,-4.5e-05,negative,BOS
travel_fatigue_diff,-1e-05,negative,BOS
closer_availability_diff,-6e-06,negative,BOS
rest_days_diff,5e-06,positive,BOS
is_home,0.0,negative,BOS
