feature,shap_value,signed_effect,perspective_team
home_team_id,0.101903,positive,CHC
run_margin_diff,0.056842,positive,CHC
lineup_woba_mean_diff,-0.050326,negative,CHC
away_team_id,-0.031389,negative,CHC
sp_era_home,-0.019335,negative,CHC
sp_era_5g_diff,-0.017688,negative,CHC
lineup_woba_mean_home,-0.0169,negative,CHC
bullpen_whip_3g_home,0.014532,positive,CHC
lineup_woba_top3_diff,0.013482,positive,CHC
lineup_woba_mean_away,-0.012453,negative,CHC
bullpen_meltdown_risk,-0.011203,negative,CHC
woba_30g_diff,0.008471,positive,CHC
lineup_woba_top3_home,-0.007759,negative,CHC
bullpen_whip_3g_diff,0.005821,positive,CHC
sp_k9_away,0.005354,positive,CHC
bullpen_pitches_diff,-0.005099,negative,CHC
lineup_woba_top3_away,0.003937,positive,CHC
away_win_pct,-0.003711,negative,CHC
air_density_velocity_boost,0.003606,positive,CHC
sp_k9_home,-0.003327,negative,CHC
sp_fbvelo_diff,0.003194,positive,CHC
ace_efficiency_factor,-0.003109,negative,CHC
bullpen_whip_10g_home,0.003057,positive,CHC
exp2_centered_k_diff,0.002849,positive,CHC
team_barrel_15g_home,0.002751,positive,CHC
exp2_cat_k_breaking_diff,-0.002428,negative,CHC
sp_era_diff,-0.002407,negative,CHC
team_exitvelo_15g_home,-0.002397,negative,CHC
elo_diff,-0.002367,negative,CHC
exp2_cat_xwoba_offspeed_diff,-0.002304,negative,CHC
lineup_woba_std_diff,0.002188,positive,CHC
pitcher_regression_indicator,0.002134,positive,CHC
team_barrel_diff,0.002073,positive,CHC
park_factor_slug_diff,0.002047,positive,CHC
lineup_depth_multiplier,0.001859,positive,CHC
bullpen_whip_diff,-0.001851,negative,CHC
team_barrel_15g_away,-0.001842,negative,CHC
sp_xwoba_away,0.001639,positive,CHC
team_exitvelo_15g_away,0.001573,positive,CHC
home_win_pct,0.001482,positive,CHC
woba_30g_home,0.001409,positive,CHC
away_elo,-0.001294,negative,CHC
bullpen_whip_10g_away,-0.001158,negative,CHC
team_exitvelo_diff,-0.001153,negative,CHC
home_elo,0.001147,positive,CHC
exp2_cat_platoon_k_fastball_diff,-0.001086,negative,CHC
lineup_handedness_matchup_advantage,-0.000749,negative,CHC
win_pct_diff,-0.000697,negative,CHC
wind_advantage_flyball_factor,0.000605,positive,CHC
sp_xwoba_home,-0.000533,negative,CHC
sp_era_away,0.000379,positive,CHC
team_hardhit_diff,-0.000239,negative,CHC
exp2_cat_k_offspeed_diff,-0.000177,negative,CHC
bullpen_whip_3g_away,-8.3e-05,negative,CHC
woba_30g_away,7.1e-05,positive,CHC
travel_fatigue_diff,-5.2e-05,negative,CHC
exp2_cat_xwoba_fastball_diff,-4.4e-05,negative,CHC
dome_is_neutral,-4.2e-05,negative,CHC
exp2_cat_k_fastball_diff,-3.9e-05,negative,CHC
closer_availability_diff,-6e-06,negative,CHC
exp2_cat_xwoba_breaking_diff,6e-06,positive,CHC
rest_days_diff,3e-06,positive,CHC
is_home,0.0,negative,CHC
