feature,shap_value,signed_effect,perspective_team
away_team_id,0.109433,positive,CLE
home_team_id,0.06728,positive,CLE
bullpen_whip_3g_home,-0.031756,negative,CLE
team_exitvelo_15g_away,0.029823,positive,CLE
run_margin_diff,0.027091,positive,CLE
bullpen_meltdown_risk,-0.014846,negative,CLE
bullpen_whip_3g_away,0.014185,positive,CLE
lineup_handedness_matchup_advantage,0.011934,positive,CLE
sp_era_home,0.010084,positive,CLE
exp2_cat_k_breaking_diff,0.009534,positive,CLE
sp_era_5g_diff,0.009426,positive,CLE
sp_k9_away,-0.008693,negative,CLE
away_win_pct,0.007597,positive,CLE
bullpen_whip_diff,0.007422,positive,CLE
team_exitvelo_diff,-0.006359,negative,CLE
away_elo,0.005682,positive,CLE
home_elo,0.005391,positive,CLE
bullpen_whip_10g_home,-0.005232,negative,CLE
home_win_pct,0.004685,positive,CLE
air_density_velocity_boost,-0.004681,negative,CLE
sp_xwoba_home,0.004671,positive,CLE
exp2_cat_xwoba_breaking_diff,0.004219,positive,CLE
sp_k9_home,-0.003987,negative,CLE
sp_era_diff,0.003949,positive,CLE
team_barrel_15g_home,-0.003809,negative,CLE
exp2_cat_xwoba_fastball_diff,-0.003701,negative,CLE
sp_fbvelo_diff,-0.003477,negative,CLE
sp_xwoba_away,0.00324,positive,CLE
exp2_cat_platoon_k_fastball_diff,0.002966,positive,CLE
woba_30g_away,0.002741,positive,CLE
bullpen_pitches_diff,-0.002079,negative,CLE
woba_30g_diff,-0.001969,negative,CLE
team_hardhit_diff,-0.001765,negative,CLE
lineup_woba_std_diff,-0.001762,negative,CLE
woba_30g_home,-0.001743,negative,CLE
ace_efficiency_factor,0.001621,positive,CLE
lineup_woba_mean_diff,-0.001511,negative,CLE
exp2_cat_xwoba_offspeed_diff,-0.001397,negative,CLE
lineup_woba_mean_away,-0.001325,negative,CLE
lineup_woba_top3_diff,0.001072,positive,CLE
elo_diff,0.001045,positive,CLE
lineup_depth_multiplier,0.001011,positive,CLE
team_exitvelo_15g_home,-0.000981,negative,CLE
team_barrel_15g_away,-0.000894,negative,CLE
bullpen_whip_3g_diff,-0.000872,negative,CLE
wind_advantage_flyball_factor,-0.000856,negative,CLE
exp2_cat_k_fastball_diff,-0.00068,negative,CLE
team_barrel_diff,-0.00064,negative,CLE
lineup_woba_top3_home,0.000613,positive,CLE
sp_era_away,0.000527,positive,CLE
exp2_centered_k_diff,-0.000524,negative,CLE
exp2_cat_k_offspeed_diff,0.000486,positive,CLE
lineup_woba_top3_away,0.000392,positive,CLE
lineup_woba_mean_home,0.000375,positive,CLE
bullpen_whip_10g_away,0.000321,positive,CLE
pitcher_regression_indicator,-0.00022,negative,CLE
dome_is_neutral,-0.000191,negative,CLE
park_factor_slug_diff,3.2e-05,positive,CLE
travel_fatigue_diff,2.9e-05,positive,CLE
closer_availability_diff,7e-06,positive,CLE
win_pct_diff,3e-06,positive,CLE
rest_days_diff,1e-06,positive,CLE
is_home,-0.0,negative,CLE
