feature,shap_value,signed_effect,perspective_team
home_team_id,0.176547,positive,SEA
away_team_id,-0.096552,negative,SEA
air_density_velocity_boost,0.04042,positive,SEA
sp_fbvelo_diff,0.027809,positive,SEA
bullpen_meltdown_risk,0.013195,positive,SEA
sp_xwoba_home,0.011979,positive,SEA
lineup_woba_top3_diff,-0.011438,negative,SEA
win_pct_diff,0.009605,positive,SEA
sp_era_diff,0.009182,positive,SEA
sp_era_home,0.008877,positive,SEA
bullpen_whip_diff,-0.007693,negative,SEA
home_win_pct,0.006888,positive,SEA
elo_diff,0.00609,positive,SEA
bullpen_whip_3g_away,-0.005632,negative,SEA
exp2_centered_k_diff,-0.005591,negative,SEA
away_win_pct,0.00519,positive,SEA
sp_k9_away,-0.004666,negative,SEA
team_exitvelo_15g_away,-0.003967,negative,SEA
away_elo,0.00389,positive,SEA
pitcher_regression_indicator,-0.003626,negative,SEA
bullpen_whip_10g_home,-0.003395,negative,SEA
bullpen_whip_3g_home,-0.003349,negative,SEA
team_barrel_diff,-0.003229,negative,SEA
lineup_woba_mean_away,-0.003083,negative,SEA
team_exitvelo_15g_home,0.003065,positive,SEA
bullpen_pitches_diff,0.003013,positive,SEA
lineup_woba_mean_diff,-0.002892,negative,SEA
lineup_woba_top3_away,-0.002765,negative,SEA
team_exitvelo_diff,0.002609,positive,SEA
lineup_woba_mean_home,-0.002525,negative,SEA
lineup_handedness_matchup_advantage,0.002401,positive,SEA
sp_era_5g_diff,-0.002059,negative,SEA
sp_xwoba_away,-0.001796,negative,SEA
lineup_woba_std_diff,-0.00178,negative,SEA
woba_30g_diff,-0.001679,negative,SEA
sp_k9_home,0.001586,positive,SEA
park_factor_slug_diff,0.001582,positive,SEA
wind_advantage_flyball_factor,0.001396,positive,SEA
exp2_cat_k_breaking_diff,0.001384,positive,SEA
woba_30g_home,-0.001374,negative,SEA
team_hardhit_diff,-0.001231,negative,SEA
ace_efficiency_factor,-0.00103,negative,SEA
exp2_cat_k_offspeed_diff,0.000952,positive,SEA
exp2_cat_xwoba_breaking_diff,-0.00094,negative,SEA
team_barrel_15g_home,0.000854,positive,SEA
lineup_depth_multiplier,-0.00078,negative,SEA
team_barrel_15g_away,-0.000764,negative,SEA
woba_30g_away,-0.000742,negative,SEA
lineup_woba_top3_home,-0.000715,negative,SEA
exp2_cat_xwoba_fastball_diff,-0.000542,negative,SEA
bullpen_whip_3g_diff,-0.000502,negative,SEA
sp_era_away,0.000452,positive,SEA
exp2_cat_k_fastball_diff,0.000414,positive,SEA
bullpen_whip_10g_away,-0.000378,negative,SEA
run_margin_diff,0.000322,positive,SEA
exp2_cat_platoon_k_fastball_diff,-0.000247,negative,SEA
exp2_cat_xwoba_offspeed_diff,-0.000156,negative,SEA
home_elo,7.5e-05,positive,SEA
dome_is_neutral,6e-05,positive,SEA
travel_fatigue_diff,8e-06,positive,SEA
rest_days_diff,-6e-06,negative,SEA
is_home,-0.0,negative,SEA
closer_availability_diff,-0.0,negative,SEA
