game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,home_score,away_score,total_runs,game_state,game_status_detail
20260909_MIN@DET,2026-09-09,2026-09-09 13:10:00-04:00,DET,MIN,66-79,69-76,0.5221,0.4779,0.0,0.0,Keider Montero,Zebby Matthews,3.0366747,6.0733495,4.5833335,7.75,Comerica Park,DET,,0,0,,pre,Scheduled
20260909_TOR@ATH,2026-09-09,2026-09-09 15:05:00-04:00,ATH,TOR,58-88,73-73,0.4541,0.5459,0.0,0.0,Brady Basso,Braydon Fisher,4.3875,7.425,4.105263,9.0,Sutter Health Park,TOR,,0,0,,pre,Scheduled
20260909_STL@SF,2026-09-09,2026-09-09 15:45:00-04:00,SF,STL,61-85,72-74,0.4541,0.5459,0.0,0.0,Blade Tidwell,Andre Pallante,4.135135,7.5405407,3.323077,6.7153845,Oracle Park,STL,,0,0,,pre,Scheduled
20260909_TEX@SEA,2026-09-09,2026-09-09 16:10:00-04:00,SEA,TEX,67-78,72-73,0.5775,0.4225,0.0,0.0,Kade Anderson,Cody Bradford,1.862069,7.448276,3.0,4.875,T-Mobile Park,SEA,,0,0,,pre,Scheduled
20260909_WSH@SD,2026-09-09,2026-09-09 16:10:00-04:00,SD,WSH,77-68,67-80,0.6725,0.3275,0.0,0.0,Walker Buehler,Jackson Kent,4.357143,7.928571,3.2586207,7.913793,Petco Park,SD,,0,0,,pre,Scheduled
20260909_CLE@BAL,2026-09-09,2026-09-09 18:35:00-04:00,BAL,CLE,70-76,74-72,0.4771,0.5228999999999999,0.0,0.0,Shane Baz,Foster Griffin,4.1266375,8.194324,3.5270271,8.4527025,Oriole Park at Camden Yards,CLE,,0,0,,pre,Scheduled
20260909_HOU@PHI,2026-09-09,2026-09-09 18:40:00-04:00,PHI,HOU,81-64,74-71,0.602,0.398,0.0,0.0,Cristopher Sánchez,Hunter Brown,2.6781375,11.040485,3.3303964,10.2290745,Citizens Bank Park,PHI,,0,0,,pre,Scheduled
20260909_NYM@MIA,2026-09-09,2026-09-09 18:40:00-04:00,MIA,NYM,72-74,67-78,0.5343,0.4657,0.0,0.0,Janson Junk,Robert Stock,4.3608246,6.4948454,6.40678,9.610169,loanDepot park,MIA,,0,0,,pre,Scheduled
20260909_LAA@BOS,2026-09-09,2026-09-09 18:45:00-04:00,BOS,LAA,80-66,55-90,0.6072,0.39280000000000004,0.0,0.0,Jake Bennett,Ryan Johnson,2.9347825,7.2391305,5.6037736,6.6226416,Fenway Park,BOS,,0,0,,pre,Scheduled
20260909_COL@NYY,2026-09-09,2026-09-09 19:05:00-04:00,NYY,COL,82-62,55-89,0.7104,0.28959999999999997,0.0,0.0,Will Warren,Tomoyuki Sugano,5.195122,9.219512,5.1498637,5.517711,Yankee Stadium,NYY,,0,0,,pre,Scheduled
20260909_TB@ATL,2026-09-09,2026-09-09 19:15:00-04:00,ATL,TB,85-60,86-58,0.5999,0.4001,0.0,0.0,TBD,Griffin Jax,,,4.4661655,10.150376,Truist Park,ATL,,0,0,,pre,Scheduled
20260909_ARI@KC,2026-09-09,2026-09-09 19:40:00-04:00,KC,AZ,64-82,78-68,0.5044,0.49560000000000004,0.0,0.0,Daniel Lynch IV,Zac Gallen,2.85,6.9,5.851711,5.7490497,Kauffman Stadium,KC,,0,0,,pre,Scheduled
20260909_CHC@MIL,2026-09-09,2026-09-09 19:40:00-04:00,MIL,CHC,90-56,81-65,0.595,0.405,0.0,0.0,Logan Henderson,Kevin Gausman,2.4,10.32,4.4803495,9.1965065,American Family Field,MIL,,0,0,,pre,Scheduled
20260909_PIT@CHW,2026-09-09,2026-09-09 19:40:00-04:00,CWS,PIT,75-69,72-73,0.4863,0.5137,0.0,0.0,Davis Martin,Lake Bachar,3.8677685,8.256198,4.5,9.364865,Rate Field,PIT,,0,0,,pre,Scheduled
20260909_CIN@LAD,2026-09-09,2026-09-09 22:10:00-04:00,LAD,CIN,88-57,69-76,0.6552,0.3448,0.0,0.0,Yoshinobu Yamamoto,Rhett Lowder,2.6052632,9.059211,4.7943926,7.4018693,Dodger Stadium,LAD,,0,0,,pre,Scheduled
