game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,home_score,away_score,total_runs,game_state,game_status_detail
20260823_STL@PHI,2026-08-23,2026-08-23 13:35:00-04:00,PHI,STL,72-58,66-65,0.5393,0.4607,0.0,0.0,Cristopher Sánchez,Kyle Leahy,2.8997614,11.212411,3.0535715,8.4375,Citizens Bank Park,PHI,1.0,6,4,,post,Final
20260823_TB@BAL,2026-08-23,2026-08-23 13:35:00-04:00,BAL,TB,63-67,76-53,0.5454,0.4546,0.0,0.0,Shane Baz,Nick Martinez,4.1381907,8.140703,2.526738,5.2700534,Oriole Park at Camden Yards,BAL,0.0,1,3,,post,Final
20260823_TOR@NYY,2026-08-23,2026-08-23 13:35:00-04:00,NYY,TOR,73-56,64-67,0.5429,0.45709999999999995,0.0,0.0,Carlos Rodón,José Soriano,3.8,10.4,3.4015749,9.496063,Yankee Stadium,NYY,1.0,8,3,,post,Final
20260823_WSH@MIA,2026-08-23,2026-08-23 13:40:00-04:00,MIA,WSH,66-64,61-70,0.5129,0.4871,0.0,0.0,Janson Junk,Jackson Kent,4.790323,6.967742,0.0,13.5,loanDepot park,MIA,1.0,6,2,,post,Final
20260823_ATH@HOU,2026-08-23,2026-08-23 14:10:00-04:00,HOU,ATH,65-65,50-80,0.5405,0.4595,0.0,0.0,Cristian Javier,Brady Basso,5.268293,7.5731707,3.661017,8.237288,Daikin Park,HOU,0.0,6,7,,post,Final
20260823_DET@KC,2026-08-23,2026-08-23 14:10:00-04:00,KC,DET,57-74,61-68,0.5341,0.4659,0.0,0.0,Daniel Lynch IV,Jacob Waguespack,2.7194245,7.1870503,,,Kauffman Stadium,KC,1.0,11,7,,post,Final
20260823_NYM@CHW,2026-08-23,2026-08-23 14:10:00-04:00,CWS,NYM,67-62,59-71,0.531,0.469,0.0,0.0,Sean Newcomb,Nolan McLean,3.375,9.0,4.0212765,11.202127,Rate Field,CWS,1.0,2,1,,post,Final
20260823_LAA@TEX,2026-08-23,2026-08-23 14:35:00-04:00,TEX,LAA,64-66,52-78,0.5239,0.47609999999999997,0.0,0.0,Cal Quantrill,Yusei Kikuchi,5.2303667,6.078534,6.352941,10.164706,Globe Life Field,TEX,1.0,5,3,,post,Final
20260823_CLE@COL,2026-08-23,2026-08-23 15:10:00-04:00,COL,CLE,50-79,64-66,0.4926,0.5074000000000001,0.0,0.0,Tomoyuki Sugano,Foster Griffin,4.357595,5.212025,3.4363637,8.555844,Coors Field,CLE,0.0,2,7,,post,Final
20260823_SF@BOS,2026-08-23,2026-08-23 15:15:00-04:00,BOS,SF,70-59,52-77,0.5566,0.4434,0.0,0.0,Jake Bennett,Matt Wilkinson,2.6283185,6.5707965,,,Fenway Park,BOS,1.0,5,4,,post,Final
20260823_CHC@SEA,2026-08-23,2026-08-23 16:10:00-04:00,SEA,CHC,62-68,74-56,0.5277,0.47230000000000005,0.0,0.0,Bryce Miller,Shota Imanaga,3.266129,9.145162,3.0461538,8.653846,T-Mobile Park,SEA,0.0,2,19,,post,Final
20260823_MIN@SD,2026-08-23,2026-08-23 16:10:00-04:00,SD,MIN,70-60,63-67,0.5509,0.44910000000000005,0.0,0.0,Walker Buehler,Bailey Ober,4.623853,8.256881,4.4822135,6.72332,Petco Park,SD,1.0,8,1,,post,Final
20260823_PIT@LAD,2026-08-23,2026-08-23 16:10:00-04:00,LAD,PIT,79-51,63-68,0.5523,0.4477,0.0,0.0,Blake Snell,Lake Bachar,6.230769,15.576923,4.8396225,10.443397,Dodger Stadium,LAD,1.0,4,0,,post,Final
20260823_CIN@ARI,2026-08-23,2026-08-23 16:15:00-04:00,AZ,CIN,68-62,62-68,0.5521,0.44789999999999996,0.0,0.0,Mitch Bratt,Andrew Abbott,3.9375,7.03125,3.6486487,7.224324,Chase Field,AZ,1.0,5,3,,post,Final
20260823_ATL@MIL,2026-08-23,2026-08-23 19:00:00-04:00,MIL,ATL,81-49,75-55,0.5366,0.46340000000000003,0.0,0.0,Shane Drohan,Tyler Mahle,4.348315,9.404494,3.8817892,9.0575075,Journey Bank Ballpark at Historic Bowman Field,MIL,0.0,2,4,,post,Final
