game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,home_score,away_score,total_runs,game_state,game_status_detail
20260824_BOS@MIA,2026-08-24,2026-08-24 18:40:00-04:00,MIA,BOS,67-64,71-59,0.4867,0.5133,0.0,0.0,Sandy Alcantara,Ranger Suarez,3.5776398,7.267081,3.2837837,9.851352,loanDepot park,BOS,0.0,2,4,,post,Final
20260824_TB@DET,2026-08-24,2026-08-24 18:40:00-04:00,DET,TB,61-69,77-53,0.5097,0.49029999999999996,0.0,0.0,Framber Valdez,Drew Rasmussen,4.773087,7.551451,2.767313,9.722992,Comerica Park,DET,0.0,1,4,,post,Final
20260824_COL@WSH,2026-08-24,2026-08-24 18:45:00-04:00,WSH,COL,61-71,50-80,0.5645,0.4355,0.0,0.0,Cade Cavalli,Ryan Feltner,3.964557,10.321519,5.6962028,6.721519,Nationals Park,WSH,1.0,13,3,,post,Final
20260824_TEX@CHW,2026-08-24,2026-08-24 19:40:00-04:00,CWS,TEX,68-62,65-66,0.5727,0.4273,0.0,0.0,José Urquidy,Kumar Rocker,,,4.2897196,8.663551,Rate Field,CWS,0.0,2,11,,post,Final
20260824_CLE@LAA,2026-08-24,2026-08-24 21:38:00-04:00,LAA,CLE,52-79,65-66,0.4308,0.5691999999999999,0.0,0.0,George Klassen,Parker Messick,6.27907,8.790698,2.4107144,9.367347,Angel Stadium,CLE,,1,4,,in,Bottom 6th
20260824_CHC@ARI,2026-08-24,2026-08-24 21:40:00-04:00,AZ,CHC,69-62,75-56,0.4247,0.5752999999999999,0.0,0.0,Merrill Kelly,Kevin Gausman,4.9159665,6.2016807,4.2954545,8.931818,Chase Field,CHC,,0,5,,in,Middle 6th
20260824_MIN@ATH,2026-08-24,2026-08-24 21:40:00-04:00,ATH,MIN,51-80,63-68,0.4493,0.5507,0.0,0.0,Jeffrey Springs,Zebby Matthews,6.2108626,7.5910544,4.9615383,7.9615383,Sutter Health Park,MIN,,1,4,,in,Top 6th
20260824_PHI@SEA,2026-08-24,2026-08-24 21:40:00-04:00,SEA,PHI,62-69,73-58,0.4794,0.5206,0.0,0.0,Logan Gilbert,Zack Wheeler,2.915493,9.633802,2.462264,11.207547,T-Mobile Park,PHI,,6,2,,in,Top 5th
20260824_PIT@SD,2026-08-24,2026-08-24 21:40:00-04:00,SD,PIT,71-60,63-69,0.6033,0.39670000000000005,0.0,0.0,Robbie Ray,Braxton Ashcraft,3.6,8.136,4.441253,10.221932,Petco Park,SD,,0,2,,in,Top 6th
20260824_CIN@SF,2026-08-24,2026-08-24 21:45:00-04:00,SF,CIN,52-78,62-69,0.4789,0.5211,0.0,0.0,Carson Whisenhunt,Chase Burns,4.9736843,7.8157897,2.7876105,10.911505,Oracle Park,CIN,,5,0,,in,Top 6th
