feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.054545,0.0,0.0,False,OK,0.0,330,110
win_pct_diff,0.0115,0.0016,0.157412,0.102867,0.054545,0.009921,0.011598,False,OK,2.236,330,110
elo_diff,21.1564,2.5955,0.199054,0.144509,0.054545,18.560874,13.018134,False,OK,2.103,330,110
rest_days_diff,0.0,0.0182,0.011837,0.0,0.054545,-0.018182,0.045938,False,OK,0.389,330,110
sp_era_diff,0.0356,-0.0833,0.097732,0.040488,0.057244,0.118961,0.330912,False,OK,2.109,322,104
sp_era_5g_diff,0.1774,-0.2038,0.1781,0.121027,0.057073,0.38119,0.50023,False,OK,1.981,326,104
sp_k9_diff,0.0138,0.0327,0.095449,0.038205,0.057244,-0.018969,0.425436,False,OK,2.043,322,104
sp_k9_5g_diff,0.1975,0.053,0.125718,0.068645,0.057073,0.144512,0.601255,False,OK,1.342,326,104
sp_fbvelo_diff,0.2138,0.0835,0.089007,0.031514,0.057493,0.130322,0.51154,False,OK,2.054,326,103
sp_fbpct_diff,0.0145,-0.0071,0.134068,0.076995,0.057073,0.021582,0.023441,False,OK,1.196,326,104
sp_whiff_diff,0.002,-0.0006,0.064115,0.007042,0.057073,0.002585,0.007495,False,OK,1.47,326,104
sp_xwoba_diff,-0.0022,-0.0062,0.167962,0.110889,0.057073,0.003977,0.011477,False,OK,4.478,326,104
sp_xwoba_vs_l_diff,-0.0016,-0.0033,0.072547,0.015303,0.057244,0.001702,0.011725,False,OK,2.045,322,104
lineup_woba_mean_diff,0.0031,-0.0004,0.124055,0.06951,0.054545,0.003525,0.002654,False,OK,2.435,330,110
lineup_woba_top3_diff,0.0055,0.0014,0.178738,0.124193,0.054545,0.00415,0.003968,False,OK,3.168,330,110
lineup_woba_std_diff,0.0015,-0.0002,0.076724,0.022179,0.054545,0.001687,0.001731,False,OK,1.948,330,110
woba_30g_diff,0.0059,-0.0001,0.205048,0.150503,0.054545,0.006018,0.004925,False,OK,1.784,330,110
bullpen_whip_diff,0.0109,-0.0071,0.32204,0.266909,0.055131,0.017987,0.062179,False,OK,2.071,325,109
bullpen_whip_3g_diff,-0.0249,-0.0538,0.06085,0.0,0.061718,0.028857,0.119632,False,OK,0.748,325,94
bullpen_pitches_diff,11.7182,3.6182,0.152769,0.098224,0.054545,8.1,11.438471,False,OK,1.482,330,110
team_barrel_diff,0.0022,-0.0003,0.22002,0.165475,0.054545,0.002517,0.001969,False,OK,2.961,330,110
team_hardhit_diff,0.0098,-0.0009,0.112663,0.058118,0.054545,0.010711,0.008321,False,OK,0.472,330,110
team_exitvelo_diff,0.0452,0.0431,0.119824,0.065279,0.054545,0.002074,0.288039,False,OK,1.398,330,110
lineup_handedness_matchup_advantage,0.0219,0.0033,0.171273,0.110268,0.061005,0.018672,0.017716,False,OK,1.55,330,95
travel_fatigue_diff,-0.1364,-0.1303,0.004341,0.0,0.054545,-0.006061,0.100544,False,OK,0.158,330,110
closer_availability_diff,0.0091,-0.0061,0.011504,0.0,0.054545,0.015152,0.049265,False,OK,0.106,330,110
dome_is_neutral,0.3455,0.2848,0.017449,0.0,0.054545,0.060606,0.075727,False,OK,0.504,330,110
park_factor_slug_diff,-0.0001,0.0002,0.187347,0.132802,0.054545,-0.000242,0.000139,False,OK,1.497,330,110
