rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,BUF,BUF,1696.7,91,43,91-43,0.679,0,,,
2,SEA,SEA,1674.8,84,51,84-51,0.622,0,,,
3,PHI,PHI,1657.4,83,51,83-51,0.619,0,,,
4,DEN,DEN,1637.1,63,72,63-72,0.467,0,,,
5,MIN,MIN,1627.2,78,56,78-56,0.582,0,,,
6,DET,DET,1615.1,63,70,63-70,0.474,0,,,
7,SF,SF,1600.8,78,57,78-57,0.578,0,,,
8,LA,LA,1598.7,82,53,82-53,0.607,0,,,
9,KC,KC,1578.6,98,37,98-37,0.726,0,,,
10,PIT,PIT,1575.5,78,55,78-55,0.586,0,,,
11,HOU,HOU,1571.1,64,70,64-70,0.478,0,,,
12,BAL,BAL,1570.3,87,48,87-48,0.644,0,,,
13,GB,GB,1559.3,83,50,83-50,0.624,0,,,
14,NE,NE,1554.8,71,64,71-64,0.526,0,,,
15,JAX,JAX,1533.6,51,84,51-84,0.378,0,,,
16,LAC,LAC,1522.3,70,65,70-65,0.519,0,,,
17,CIN,CIN,1518.7,60,73,60-73,0.451,0,,,
18,CHI,CHI,1511.4,61,74,61-74,0.452,0,,,
19,DAL,DAL,1477.3,75,59,75-59,0.56,0,,,
20,TB,TB,1443.1,71,64,71-64,0.526,0,,,
21,MIA,MIA,1435.7,66,69,66-69,0.489,0,,,
22,OAK,OAK,1427.1,11,21,11-21,0.344,0,,,
23,IND,IND,1420.6,66,68,66-68,0.493,0,,,
24,ATL,ATL,1419.4,55,80,55-80,0.407,0,,,
25,WAS,WAS,1419.2,53,81,53-81,0.396,0,,,
26,CLE,CLE,1405.2,59,75,59-75,0.44,0,,,
27,NO,NO,1405.0,75,60,75-60,0.556,0,,,
28,CAR,CAR,1395.6,45,90,45-90,0.333,0,,,
29,LV,LV,1361.8,41,62,41-62,0.398,0,,,
30,NYG,NYG,1351.4,42,92,42-92,0.313,0,,,
31,ARI,ARI,1343.3,47,87,47-87,0.351,0,,,
32,NYJ,NYJ,1325.3,40,95,40-95,0.296,0,,,
33,TEN,TEN,1266.6,60,75,60-75,0.444,0,,,
